Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?
subject_id,cogmech_patient_information,,text,Subject ID,,,,,,
age,demographics_data,,text,Age at Enrollment,,,integer,,,
sex,demographics_data,,dropdown,Sex,"0, Male|1, Female",,,,,
race,demographics_data,,dropdown,Race,"0, Declined to answer|1, American Indian or Alaskan Native|2, Asian|3, Black or African American|4, Native Hawaiian or Pacific Islander|5, White|6, Other",,,,,
bci_1,beck_cognitive_insight_scale,,radio,"At times, I have misunderstood other people's attitudes towards me.","1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_2,beck_cognitive_insight_scale,,radio,My interpretations of my experiences are definitely right.,"1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_3,beck_cognitive_insight_scale,,radio,Other people can understand the cause of my unusual experiences better than I can.,"1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_4,beck_cognitive_insight_scale,,radio,I have jumped to conclusions too fast.,"1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_5,beck_cognitive_insight_scale,,radio,"Some of my experiences that have seemed very real, may have been due to my imagination. ","1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_6,beck_cognitive_insight_scale,,radio,Some of the ideas I was certain were true turned out to be false. ,"1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_7,beck_cognitive_insight_scale,,radio,"If something feels right, it means that it is right. ","1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_8,beck_cognitive_insight_scale,,radio,"Even though I feel strongly that I am right, I could be wrong. ","1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_9,beck_cognitive_insight_scale,,radio,I know better than anyone else what my problems are. ,"1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_10,beck_cognitive_insight_scale,,radio,"When people disagree with me, they are generally wrong. ","1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_11,beck_cognitive_insight_scale,,radio,I cannot trust other people's opinion about my experiences. ,"1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_12,beck_cognitive_insight_scale,,radio,"If somebody points out that my beliefs are wrong, I am willing to consider it. ","1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_13,beck_cognitive_insight_scale,,radio,I can trust my own judgment at all times. ,"1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_14,beck_cognitive_insight_scale,,radio,There is often more than one possible explanation for why people act the way they do. ,"1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
bci_15,beck_cognitive_insight_scale,,radio,My unusual experiences may be due to my being extremely upset or stressed.,"1, Do not agree at all | 2, Agree slightly | 3, Agree a lot | 4, Agree completely",,,,,
